"regiao","estado","municipio","coduf","codmun","codRegiaoSaude","nomeRegiaoSaude","data","semanaEpi","populacaoTCU2019","casosAcumulado","casosNovos","obitosAcumulado","obitosNovos","Recuperadosnovos","emAcompanhamentoNovos"
"Brasil",,,"76",,,,"2020-02-26","9","210147125","1","0","0","0",,
"Brasil",,,"76",,,,"2020-02-27","9","210147125","1","0","0","0",,
"Brasil",,,"76",,,,"2020-02-28","9","210147125","1","0","0","0",,
"Brasil",,,"76",,,,"2020-02-29","9","210147125","2","1","0","0",,
"Brasil",,,"76",,,,"2020-03-01","10","210147125","2","0","0","0",,
"Brasil",,,"76",,,,"2020-03-02","10","210147125","2","0","0","0",,
"Brasil",,,"76",,,,"2020-03-03","10","210147125","2","0","0","0",,
"Brasil",,,"76",,,,"2020-03-04","10","210147125","3","1","0","0",,
"Brasil",,,"76",,,,"2020-03-05","10","210147125","7","4","0","0",,
"Brasil",,,"76",,,,"2020-03-06","10","210147125","13","6","0","0",,
"Brasil",,,"76",,,,"2020-03-07","10","210147125","19","6","0","0",,
"Brasil",,,"76",,,,"2020-03-08","11","210147125","25","6","0","0",,
"Brasil",,,"76",,,,"2020-03-09","11","210147125","25","0","0","0",,
"Brasil",,,"76",,,,"2020-03-10","11","210147125","34","9","0","0",,
"Brasil",,,"76",,,,"2020-03-11","11","210147125","52","18","0","0",,
"Brasil",,,"76",,,,"2020-03-12","11","210147125","77","25","0","0",,
"Brasil",,,"76",,,,"2020-03-13","11","210147125","98","21","0","0",,
"Brasil",,,"76",,,,"2020-03-14","11","210147125","121","23","0","0",,
"Brasil",,,"76",,,,"2020-03-15","12","210147125","200","79","0","0",,
"Brasil",,,"76",,,,"2020-03-16","12","210147125","234","34","0","0",,
"Brasil",,,"76",,,,"2020-03-17","12","210147125","291","57","1","1",,
"Brasil",,,"76",,,,"2020-03-18","12","210147125","428","137","4","3",,
"Brasil",,,"76",,,,"2020-03-19","12","210147125","621","193","6","2",,
"Brasil",,,"76",,,,"2020-03-20","12","210147125","904","283","11","5",,
"Brasil",,,"76",,,,"2020-03-21","12","210147125","1128","224","18","7",,
"Brasil",,,"76",,,,"2020-03-22","13","210147125","1546","418","25","7",,
"Brasil",,,"76",,,,"2020-03-23","13","210147125","1891","345","34","9",,
"Brasil",,,"76",,,,"2020-03-24","13","210147125","2201","310","46","12",,
"Brasil",,,"76",,,,"2020-03-25","13","210147125","2433","232","57","11",,
"Brasil",,,"76",,,,"2020-03-26","13","210147125","2915","482","77","20",,
"Brasil",,,"76",,,,"2020-03-27","13","210147125","3417","502","92","15",,
"Brasil",,,"76",,,,"2020-03-28","13","210147125","3903","486","114","22",,
"Brasil",,,"76",,,,"2020-03-29","14","210147125","4256","353","136","22",,
"Brasil",,,"76",,,,"2020-03-30","14","210147125","4579","323","159","23",,
"Brasil",,,"76",,,,"2020-03-31","14","210147125","5717","1138","201","42",,
"Brasil",,,"76",,,,"2020-04-01","14","210147125","6834","1117","241","40",,
"Brasil",,,"76",,,,"2020-04-02","14","210147125","7910","1076","299","58",,
"Brasil",,,"76",,,,"2020-04-03","14","210147125","9056","1146","359","60",,
"Brasil",,,"76",,,,"2020-04-04","14","210147125","10278","1222","432","73",,
"Brasil",,,"76",,,,"2020-04-05","15","210147125","11130","852","486","54",,
"Brasil",,,"76",,,,"2020-04-06","15","210147125","12056","926","553","67",,
"Brasil",,,"76",,,,"2020-04-07","15","210147125","13717","1661","667","114",,
"Brasil",,,"76",,,,"2020-04-08","15","210147125","15927","2210","800","133",,
"Brasil",,,"76",,,,"2020-04-09","15","210147125","17857","1930","941","141",,
"Brasil",,,"76",,,,"2020-04-10","15","210147125","19638","1781","1056","115",,
